year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,City_Name_EN,adm4_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2020,UKR,Ukraine,UA,Cherkasy oblast Cherkasy city,Cherkasy,UA7108049001,148088,124199,272287,5249,6587,6060,5071,5448,8465,12137,13370,11154,11019,10530,11879,10871,10413,8164,5147,6524,5748,7164,6417,5400,5880,8113,10656,14523,10790,9834,8301,8713,7170,6065,4441,2412,2572,10997,13751,12477,10471,11328,16578,22793,27893,21944,20853,18831,20592,18041,16478,12605,7559,9096
2020,UKR,Ukraine,UA,Chernihiv oblast Chernihiv city,Chernihiv,UA7410039001,152628,128451,281079,5424,6620,6457,5264,5538,7973,12023,14356,12440,11057,10087,11557,12167,11430,8543,4777,6915,5650,7022,6741,5579,5646,7849,11681,18906,11150,9164,7938,8099,7450,6561,4340,2244,2431,11074,13642,13198,10843,11184,15822,23704,33262,23590,20221,18025,19656,19617,17991,12883,7021,9346
2020,UKR,Ukraine,UA,Chernivtsi oblast Chernivtsi city,Chernivtsi,UA7306061001,142770,120532,263302,5793,6783,6367,6879,8118,9531,12653,14524,10757,9642,9035,9805,9650,8483,5986,3798,4966,6103,7189,6751,7087,8452,8680,10546,13302,9542,8729,7201,7616,6509,5256,3520,2095,1954,11896,13972,13118,13966,16570,18211,23199,27826,20299,18371,16236,17421,16159,13739,9506,5893,6920
2020,UKR,Ukraine,UA,Dnipropetrovsk oblast Kamianske city,Kamianske,UA1204015001,127402,103963,231365,4530,6146,6036,4357,4258,6590,9846,10307,9576,9309,8792,10706,10202,8912,6133,4374,7328,4712,6464,6375,4699,4590,7109,10110,10741,8908,7818,6525,7283,6241,4858,2789,1750,2991,9242,12610,12411,9056,8848,13699,19956,21048,18484,17127,15317,17989,16443,13770,8922,6124,10319
2020,UKR,Ukraine,UA,Dnipropetrovsk oblast Kryvyi Rih city,Kryvyi Rih,UA1206017001,340391,277373,617764,13029,17177,16504,13016,13008,19740,27358,27385,24849,23744,22175,26681,25025,21940,16123,13803,18834,13791,18274,17610,14170,14098,20068,27680,26426,23097,20290,16976,18211,15699,12482,7341,5018,6142,26820,35451,34114,27186,27106,39808,55038,53811,47946,44034,39151,44892,40724,34422,23464,18821,24976
2020,UKR,Ukraine,UA,Dnipropetrovsk oblast Nikopol city,Nikopol,UA1208005001,61760,49416,111176,2092,2963,2972,2204,1999,2904,4001,4566,4403,4559,4113,4969,4928,5122,3653,2648,3664,2313,3194,3149,2338,2195,3130,4191,4612,4004,3901,3136,3443,3062,2683,1714,1067,1284,4405,6157,6121,4542,4194,6034,8192,9178,8407,8460,7249,8412,7990,7805,5367,3715,4948
2020,UKR,Ukraine,UA,Dnipropetrovsk oblast Pavlohrad city,Pavlohrad,UA1212007001,57100,48068,105168,2531,3144,2995,2188,1954,3352,4729,3962,3735,3794,3931,5010,4417,3844,2854,2046,2614,2595,3294,3139,2136,1921,3263,5137,5333,3399,3300,2788,3397,3010,2272,1366,813,905,5126,6438,6134,4324,3875,6615,9866,9295,7134,7094,6719,8407,7427,6116,4220,2859,3519
2020,UKR,Ukraine,UA,Dnipropetrovsk oblast Dnipro city,Dnipro,UA1202001001,536612,443987,980599,20763,25614,23696,20610,22997,28487,39928,45692,40408,36998,33585,40591,41344,37424,27938,19597,30940,21719,26941,25058,21454,25198,30894,37756,44401,37647,33656,27304,29772,26418,21598,13677,8109,12385,42482,52555,48754,42064,48195,59381,77684,90093,78055,70654,60889,70363,67762,59022,41615,27706,43325
2020,UKR,Ukraine,UA,Ivano-Frankivsk oblast Ivano-Frankivsk city,Ivano-Frankivsk,UA2604019001,125836,108997,234833,5449,6352,6416,6362,7111,8736,11323,13333,8714,7823,7675,9172,8813,6896,4781,3072,3808,5761,6835,6702,6239,6926,8151,10130,13603,8082,6941,5977,6876,5992,4518,2905,1709,1650,11210,13187,13118,12601,14037,16887,21453,26936,16796,14764,13652,16048,14805,11414,7686,4781,5458
2020,UKR,Ukraine,UA,Kharkiv oblast Kharkiv city,Kharkiv,UA6312027001,765259,658381,1423640,26668,32063,29583,33689,39343,45086,60357,66194,57865,54535,48710,56953,57342,52654,41857,23595,38765,28532,33918,31443,34408,47430,50541,58942,70193,56335,49550,40637,42704,36757,30042,21347,10894,14708,55200,65981,61026,68097,86773,95627,119299,136387,114200,104085,89347,99657,94099,82696,63204,34489,53473
2020,UKR,Ukraine,UA,Kherson oblast Kherson city,Kherson,UA6510015001,156235,127121,283356,6765,7236,6968,6148,5919,8447,12063,14333,11021,10855,10453,12020,11138,10404,8415,6307,7743,7249,7857,7399,6859,6872,8670,12061,12129,9655,9267,8081,8774,7122,5964,4094,2441,2627,14014,15093,14367,13007,12791,17117,24124,26462,20676,20122,18534,20794,18260,16368,12509,8748,10370
2020,UKR,Ukraine,UA,Khmelnytskiy oblast Khmelnytskiy city,Khmelnytskiy,UA6804047001,146624,124255,270879,6810,8055,7184,6378,6859,9068,12933,14053,11441,10289,9316,10570,10982,9076,6151,3467,3992,7156,8347,7664,6682,6802,8549,11296,13189,10111,8889,7572,7719,7381,5770,3778,1943,1407,13966,16402,14848,13060,13661,17617,24229,27242,21552,19178,16888,18289,18363,14846,9929,5410,5399
2020,UKR,Ukraine,UA,Kirovohrad oblast Kropyvnytskyi city,Kropyvnytskyi,UA3504021001,121278,100920,222198,5006,6131,5656,4857,4854,7224,10154,10713,8386,8429,8115,9210,8633,8227,6226,4486,4971,5202,6469,6127,5162,6088,7665,9413,9350,8016,7439,6426,6679,5450,4444,3039,1965,1986,10208,12600,11783,10019,10942,14889,19567,20063,16402,15868,14541,15889,14083,12671,9265,6451,6957
2020,UKR,Ukraine,UA,Kyiv oblast Bila Tserkva city,Bila Tserkva,UA3202001001,110660,94649,205309,4576,5173,4887,4416,4886,6928,9374,9296,8633,8470,8066,9790,7626,6621,4513,3492,3913,4801,5497,5293,4896,5083,6695,8625,10578,8003,7125,6555,6511,5138,4204,2412,1617,1616,9377,10670,10180,9312,9969,13623,17999,19874,16636,15595,14621,16301,12764,10825,6925,5109,5529
2020,UKR,Ukraine,UA,Kyiv oblast Brovary city,Brovary,UA3206005001,58752,48945,107697,3037,3436,2982,2066,2437,3513,5489,5628,4951,4338,3999,4050,3988,3404,2297,1445,1692,3371,3732,3211,2142,2246,3207,4647,4548,4420,3790,3172,3399,2681,1996,1150,605,628,6408,7168,6193,4208,4683,6720,10136,10176,9371,8128,7171,7449,6669,5400,3447,2050,2320
2020,UKR,Ukraine,UA,Lviv oblast Lviv city,Lviv,UA4606025001,383849,333798,717647,16465,18073,17404,18910,21833,23850,29424,32406,26641,25713,24027,28223,28109,23129,19094,12881,17667,17326,19379,18325,19526,22667,24064,27774,33270,25162,23602,21177,22411,19835,14147,10699,7042,7392,33791,37452,35729,38436,44500,47914,57198,65676,51803,49315,45204,50634,47944,37276,29793,19923,25059
2020,UKR,Ukraine,UA,Mykolayiv oblast Mykolayiv city,Mykolayiv,UA4806015001,259513,216072,475585,8954,11122,10613,9163,9884,14243,21120,23585,19629,17975,16709,20252,19688,18990,13990,9928,13668,9509,12042,11541,9790,10727,14940,20341,22974,18504,16288,13151,14496,12656,11142,7543,4692,5736,18463,23164,22154,18953,20611,29183,41461,46559,38133,34263,29860,34748,32344,30132,21533,14620,19404
2020,UKR,Ukraine,UA,Odesa oblast Odesa city,Odesa,UA5110027001,530721,469315,1000036,22297,24375,22471,20712,24395,32065,40043,43018,40692,39100,34294,37458,35664,34689,28660,20228,30560,23877,26042,23661,20825,27595,34528,39939,52330,38084,35939,29399,29470,24363,21100,15805,10399,15959,46174,50417,46132,41537,51990,66593,79982,95348,78776,75039,63693,66928,60027,55789,44465,30627,46519
2020,UKR,Ukraine,UA,Poltava oblast Kremenchuk city,Kremenchuk,UA5302011001,119450,98592,218042,4371,5272,5172,4424,4608,6940,9349,9542,9500,9409,8503,9104,8415,8030,6318,4884,5609,4594,5502,5585,4391,4818,6744,8879,8968,8469,8487,7293,7065,5528,4684,3102,2225,2258,8965,10774,10757,8815,9426,13684,18228,18510,17969,17896,15796,16169,13943,12714,9420,7109,7867
2020,UKR,Ukraine,UA,Poltava oblast Poltava city,Poltava,UA5308037001,150382,129246,279628,5304,6594,6301,5694,6677,8556,12476,14577,11538,10547,9973,10853,10410,10284,8440,5277,6881,5762,7428,6745,6153,8228,9665,11603,15758,10926,9560,7861,8052,6507,5941,4092,2424,2541,11066,14022,13046,11847,14905,18221,24079,30335,22464,20107,17834,18905,16917,16225,12532,7701,9422
2020,UKR,Ukraine,UA,Rivne oblast Rivne city,Rivne,UA5606047001,132357,110224,242581,6084,7073,6366,7288,6183,8788,11485,13047,9368,8823,8477,9787,9526,7424,5462,3409,3767,6471,7539,6700,5927,6358,8581,10321,11582,8516,7491,6439,7269,6380,4360,3084,1744,1462,12555,14612,13066,13215,12541,17369,21806,24629,17884,16314,14916,17056,15906,11784,8546,5153,5229
2020,UKR,Ukraine,UA,Sumy oblast Sumy city,Sumy,UA5908027001,143495,117822,261317,5400,6847,6337,5909,6664,7835,10676,13189,10593,10041,10010,11961,11582,10229,7060,3982,5180,5895,7266,6630,5946,7250,7448,9949,12172,9638,8493,7596,8670,7361,6026,3735,1667,2080,11295,14113,12967,11855,13914,15283,20625,25361,20231,18534,17606,20631,18943,16255,10795,5649,7260
2020,UKR,Ukraine,UA,Ternopil oblast Ternopil city,Ternopil,UA6104049001,120479,101501,221980,5714,6542,6554,5802,6334,7910,9048,13275,8738,7764,7321,8938,8980,7180,4707,2802,2870,6010,6899,6693,5871,6086,6794,8338,11097,8034,6633,5912,6731,6220,4602,2882,1505,1194,11724,13441,13247,11673,12420,14704,17386,24372,16772,14397,13233,15669,15200,11782,7589,4307,4064
2020,UKR,Ukraine,UA,Vinnytsya oblast Vinnytsya city,Vinnytsya,UA0502003001,200515,168354,368869,8683,9964,9179,8563,9992,12767,17516,19374,15303,14053,13002,14282,13531,12431,9142,5597,7136,9307,10646,9808,9146,10044,12132,15233,15542,13656,12733,10825,10852,9493,7867,5290,3005,2775,17990,20610,18987,17709,20036,24899,32749,34916,28959,26786,23827,25134,23024,20298,14432,8602,9911
2020,UKR,Ukraine,UA,Volyn oblasts Lutsk city,Lutsk,UA0708017001,118066,96166,214232,5468,6396,6297,5405,5371,7602,9814,11867,8658,8141,7560,8784,8826,6721,4520,3027,3609,5874,6986,6682,4981,4997,7070,8734,9591,7661,6773,5907,6340,5460,3939,2541,1313,1317,11342,13382,12979,10386,10368,14672,18548,21458,16319,14914,13467,15124,14286,10660,7061,4340,4926
2020,UKR,Ukraine,UA,Zakarpattya oblast Uzhhorod city,Uzhhorod,UA2110023001,60806,53146,113952,2715,3269,3415,3209,3323,3872,5141,5624,4505,4165,3723,4196,4151,3403,2830,1497,1768,2982,3478,3648,3119,3555,4459,4881,5280,4154,3814,2904,3070,2784,2120,1447,803,648,5697,6747,7063,6328,6878,8331,10022,10904,8659,7979,6627,7266,6935,5523,4277,2300,2416
2020,UKR,Ukraine,UA,Zaporizhzhya oblast Melitopol city,Melitopol,UA2308007001,83209,68586,151795,3360,3910,3869,3359,3105,4403,6416,7591,6029,5755,5336,6178,5969,5843,4270,3158,4658,3591,4182,4045,3501,3350,4479,6284,7155,5634,4972,4276,4688,3909,3468,2156,1268,1628,6951,8092,7914,6860,6455,8882,12700,14746,11663,10727,9612,10866,9878,9311,6426,4426,6286
2020,UKR,Ukraine,UA,Zaporizhzhya oblast Zaporizhzhya city,Zaporizhzhya,UA2306007001,399703,328283,727986,13516,17241,16281,14747,15490,21469,30866,32224,29314,27764,26481,31340,31513,30498,21741,15446,23772,14358,17905,17688,15064,16196,22738,30233,31221,29702,25707,21532,22552,20130,17060,10707,6690,8800,27874,35146,33969,29811,31686,44207,61099,63445,59016,53471,48013,53892,51643,47558,32448,22136,32572
2020,UKR,Ukraine,UA,Zaporizhzhya oblasts  Berdiansk city,Berdiansk,UA2302005001,61162,48240,109402,1987,2614,2408,1883,1822,3003,4509,4869,4328,4227,4064,4797,4914,5009,3724,3003,4001,2169,2679,2674,2026,1904,2899,4248,4322,3958,3928,3272,3698,3111,2866,1806,1163,1517,4156,5293,5082,3909,3726,5902,8757,9191,8286,8155,7336,8495,8025,7875,5530,4166,5518
2020,UKR,Ukraine,UA,Zhytomyr oblast Zhytomyr city,Zhytomyr,UA1804019001,142119,120942,263061,5911,7319,6781,6131,6938,9173,11096,13210,10097,9626,9212,10647,10629,9082,6485,4328,5454,6226,7819,7125,6394,6861,9073,10811,13594,9921,8499,7386,7924,6766,5362,3260,1963,1958,12137,15138,13906,12525,13799,18246,21907,26804,20018,18125,16598,18571,17395,14444,9745,6291,7412
